name,slug,city,country,address,website_url,curriculum,age_range,religious_environment,price_min,price_max,summary,school_level,logo_url,cover_image_url,status
Sayfol International School KL,sayfol-international-school-kl-ampang,Kuala Lumpur,Malaysia,"Ampang, Kuala Lumpur",https://sayfol.edu.my/,English,2.5 to 18 years,Not specified,15630,29650,"Preschool, International School",All-through,https://sayfol.edu.my/wp-content/uploads/logo.png,https://sayfol.edu.my/wp-content/uploads/campus.jpg,active
St. John's International School,st-johns-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.sjis.edu.my/,Praxis,5 to 18 years,Not specified,14065,31302,"Preschool, International School",All-through,https://www.sjis.edu.my/images/sjis-logo.png,https://www.sjis.edu.my/images/building.jpg,active
The International School @ Parkcity,the-international-school-at-parkcity-desa-parkcity,Kuala Lumpur,Malaysia,"Desa ParkCity, Kuala Lumpur",https://isp.edu.my/,British,3 to 17 years,Not specified,13300,27250,"Preschool, International School",Primary to Secondary,https://isp.edu.my/wp-content/uploads/2021/03/ISP-Logo.png,https://isp.edu.my/wp-content/uploads/2021/03/ISP-Campus.jpg,active
Utama International School - Kuala Lumpur Campus,utama-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Setapak, Kuala Lumpur",https://www.utama.edu.my/,,7 to 17 years,Not specified,10000,25000,International School,Primary to Secondary,https://www.utama.edu.my/wp-content/uploads/2019/10/UIS-Logo.png,https://www.utama.edu.my/wp-content/uploads/2019/10/UIS-Campus.jpg,active
Vikas International School,vikas-international-school-jalan-klang-lama,Kuala Lumpur,Malaysia,"Jalan Klang Lama, Kuala Lumpur",https://www.vikas.edu.my/,CBSE,4 to 17 years,Not specified,6500,13500,"Preschool, International School",Primary to Secondary,https://www.vikas.edu.my/wp-content/uploads/2020/02/Vikas-Logo.png,https://www.vikas.edu.my/wp-content/uploads/2020/02/Vikas-Building.jpg,active
Sekolah Rendah Sathya Sai,sekolah-rendah-sathya-sai-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",,,7 to 12 years,Not specified,0,0,Private School,Primary,,,active
Sekolah Sri UCSI Kuala Lumpur,sekolah-sri-ucsi-kuala-lumpur-cheras,Kuala Lumpur,Malaysia,"Cheras, Kuala Lumpur",https://www.sekolahriucsi.edu.my/,,7 to 17 years,Not specified,8900,11600,Private School,Primary to Secondary,,,active
Sekolah Taman Ilmu Dan Budi (SETIABUDI),sekolah-taman-ilmu-dan-budi-setiabudi-gombak,Kuala Lumpur,Malaysia,"Gombak, Kuala Lumpur",https://setiabudi.edu.my/,,7 to 17 years,Islamic,7800,11160,"Private School, Boarding School",Primary to Secondary,,,active
Sekolah Sri Bestari,sekolah-sri-bestari-sri-damansara,Kuala Lumpur,Malaysia,"Sri Damansara, Kuala Lumpur",,,4 to 17 years,Not specified,5865,8760,"Preschool, Private School",Primary to Secondary,https://sribestari.edu.my/wp-content/uploads/2020/05/Sri-Bestari-Logo.png,https://sribestari.edu.my/wp-content/uploads/2020/05/Campus-Shot.jpg,active
"Stella Maris International School, Damansara (SMIS)",stella-maris-international-school-damansara-smis,Kuala Lumpur,Malaysia,"Medan Damansara, Kuala Lumpur",https://www.stellamaris.edu.my/,International Baccalaureate (IB),7 to 12 years,Not specified,0,0,International School,Primary,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Logo.png,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Campus.jpg,active
Sekolah Stella Maris - Pudu,sekolah-stella-maris-pudu,Kuala Lumpur,Malaysia,"Pudu, Kuala Lumpur",,,7 to 17 years,Not specified,5350,6250,"Private School, Boarding School",Primary to Secondary,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Logo.png,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Campus.jpg,active
Sekolah Stella Maris - Ampang,sekolah-stella-maris-ampang,Kuala Lumpur,Malaysia,"Ampang, Kuala Lumpur",,,7 to 17 years,Not specified,4,2,Private School,Primary to Secondary,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Logo.png,https://www.stellamaris.edu.my/wp-content/uploads/2020/01/Stella-Maris-Campus.jpg,active
Sekolah Sri Utama - Kuala Lumpur Campus,sekolah-sri-utama-kuala-lumpur,Kuala Lumpur,Malaysia,"Setapak, Kuala Lumpur",,,7 to 17 years,Not specified,0,0,"Preschool, Private School",Primary to Secondary,,,active
Wesley Methodist Schools (KL) (International),wesley-methodist-schools-kl-international-sentul,Kuala Lumpur,Malaysia,"Sentul, Kuala Lumpur",https://kl.wms.edu.my/,,7 to 18 years,Not specified,17300,21000,International School,Primary to Secondary,https://kl.wms.edu.my/wp-content/uploads/2020/05/WMS-Logo.png,https://kl.wms.edu.my/wp-content/uploads/2020/05/WMS-Building.jpg,active
EtonHouse International School Kuala Lumpur,etonhouse-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.etonhouse.edu.my/kuala-lumpur/,International Baccalaureate (IB),2 to 12 years,Not specified,14500,21000,"Preschool, International School",Primary,https://www.etonhouse.edu.my/wp-content/uploads/2020/06/EtonHouse-Logo.png,https://www.etonhouse.edu.my/wp-content/uploads/2020/06/EtonHouse-KL.jpg,active
Hibiscus International School,hibiscus-international-school-segambut,Kuala Lumpur,Malaysia,"Segambut, Kuala Lumpur",https://hibiscus.edu.my/,British,3 to 16 years,Not specified,6468,13225,"Preschool, International School",Primary to Secondary,https://hibiscus.edu.my/wp-content/uploads/2021/02/Hibiscus-Logo.png,https://hibiscus.edu.my/wp-content/uploads/2021/02/Hibiscus-Campus.jpg,active
UCSI International School Kuala Lumpur,ucsi-international-school-kuala-lumpur-cheras,Kuala Lumpur,Malaysia,"Cheras, Kuala Lumpur",https://www.ucsiinternationalschool.edu.my/kl/,IPC|Praxis,0 to 0 years,Not specified,9900,14300,International School,Primary to Secondary,https://www.ucsiinternationalschool.edu.my/kl/wp-content/uploads/2020/04/UCSI-Logo.png,https://www.ucsiinternationalschool.edu.my/kl/wp-content/uploads/2020/04/UCSI-Campus.jpg,active
Charterhouse Malaysia,charterhouse-malaysia-sri-hartamas,Kuala Lumpur,Malaysia,"Sri Hartamas, Kuala Lumpur",https://www.charterhouse.edu.my/,British,16 to 19 years,Not specified,99000,198000,International School,Secondary,https://www.charterhouse.edu.my/wp-content/uploads/2021/03/Charterhouse-Logo.png,https://www.charterhouse.edu.my/wp-content/uploads/2021/03/Charterhouse-Campus.jpg,active
Taylor's International School Kuala Lumpur,taylors-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://www.tis.edu.my/campus/kuala-lumpur,British|Praxis|Cambridge Assessment International Education,4 to 16 years,Not specified,5505,15895,International School,Primary to Secondary,https://www.tis.edu.my/assets/img/logo-tis.png,https://www.tis.edu.my/assets/img/campus-kl.jpg,active
Havil International School,havil-international-school-kuala-lumpur,Kuala Lumpur,Malaysia,"Kuala Lumpur, Kuala Lumpur",https://havil.edu.my/,,5 to 16 years,Not specified,11700,23400,International School,Primary to Secondary,https://havil.edu.my/wp-content/uploads/2020/12/Havil-Logo.png,https://havil.edu.my/wp-content/uploads/2020/12/Havil-Campus.jpg,active
Campus Rangers International School,campus-rangers-international-school-seputeh,Kuala Lumpur,Malaysia,"Seputeh, Kuala Lumpur",https://campusrangers.edu.my/,Cambridge IGCSE,to years,Not specified,15000,18800,International School,Primary to Secondary,https://campusrangers.edu.my/wp-content/uploads/2020/05/Campus-Rangers-Logo.png,https://campusrangers.edu.my/wp-content/uploads/2020/05/Campus-Rangers-Campus.jpg,active
Enso International Academy,enso-international-academy-taman-tun-dr-ismail,Kuala Lumpur,Malaysia,"Taman Tun Dr Ismail, Kuala Lumpur",,,7 to 12 years,Not specified,0,0,International School,Primary,,,active
ENSO International Academy & Vocational Academy,enso-international-vocational-academy-taman-tun-dr-ismail,Kuala Lumpur,Malaysia,"Taman Tun Dr Ismail, Kuala Lumpur",,,to years,Not specified,0,0,International School,All-through,,,active
Frontier International Secondary School,frontier-international-secondary-school-kuchai-lama,Kuala Lumpur,Malaysia,"Kuchai Lama, Kuala Lumpur",https://frontier.edu.my/,,13 to 17 years,Not specified,19710,22950,International School,Secondary,https://frontier.edu.my/wp-content/uploads/2021/02/Frontier-Logo.png,https://frontier.edu.my/wp-content/uploads/2021/02/Frontier-Building.jpg,active
Iraqi Private School Malaysia,iraqi-private-school-malaysia-ampang,Kuala Lumpur,Malaysia,"Ampang, Kuala Lumpur",,Arabic,0 to 0 years,Islamic,0,0,Private School,All-through,,,active
Garden International School Early Years Centre,garden-international-school-early-years-sri-hartamas,Kuala Lumpur,Malaysia,"Sri Hartamas, Kuala Lumpur",https://www.gardenschool.edu.my/,British,3 to 6 years,Not specified,29055,47640,Preschool,Primary,https://www.gardenschool.edu.my/wp-content/uploads/logo-gis.png,https://www.gardenschool.edu.my/wp-content/uploads/campus.jpg,active
Marefat International School,marefat-international-school-taman-melawati,Kuala Lumpur,Malaysia,"Taman Melawati, Kuala Lumpur",https://marefat.edu.my/,Canadian|Cambridge IGCSE,3 to 18 years,Not specified,13500,25000,International School,All-through,https://marefat.edu.my/wp-content/uploads/2020/09/Marefat-Logo.png,https://marefat.edu.my/wp-content/uploads/2020/09/Marefat-Campus.jpg,active
Spectrum International Islamic School (SIIS),spectrum-international-islamic-school-siis-kenny-hills,Kuala Lumpur,Malaysia,"Kenny Hills, Kuala Lumpur",https://spectrum.edu.my/,,0 to 0 years,Islamic,11450,19900,"Preschool, International School",Primary to Secondary,https://spectrum.edu.my/wp-content/uploads/2021/03/Spectrum-Logo.png,https://spectrum.edu.my/wp-content/uploads/2021/03/Spectrum-Campus.jpg,active
Mont' Kiara International School (MKIS) - Duplicate Name,mont-kiara-international-school-mkis-mont-kiara,Kuala Lumpur,Malaysia,"Mont Kiara, Kuala Lumpur",,International Baccalaureate (IB)|American,4 to 17 years,Not specified,93080,104000,International School,Primary to Secondary,,,active
