name,slug,city,country,address,website_url,curriculum,age_range,religious_environment,price_min,price_max,summary,school_level,logo_url,cover_image_url,status
Tenby Schools Setia Eco Park,tenby-schools-setia-eco-park-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://tenby.edu.my/setia-eco-park/,British,7 to 17 years,Not specified,5760,51000,"Preschool, Private School, International School",Primary to Secondary,,,active
REAL Schools Cheras,real-schools-cheras-hulu-langat,Hulu Langat,Malaysia,"Hulu Langat, Selangor",https://realschools.edu.my/,,3 to 17 years,Not specified,0,0,Private School,Primary to Secondary,,,active
Templer Park International School,templer-park-international-school-rawang,Rawang,Malaysia,"Rawang, Selangor",,,4 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
Malaysia International Korea School,malaysia-international-korea-school-ampang-botanic,Ampang Botanic,Malaysia,"Ampang Botanic, Selangor",,Cambridge IGCSE,0 to 0 years,Not specified,0,0,"Preschool, International School",All-through,,,active
Straits International School Rawang Campus,straits-international-school-rawang,Rawang,Malaysia,"Rawang, Selangor",https://rawang.straits.edu.my/,British,3 to 16 years,Not specified,0,0,"Preschool, International School",Primary to Secondary,,,active
Aman Integrated School,aman-integrated-school-sungai-buloh,Sungai Buloh,Malaysia,"Sungai Buloh, Selangor",,Islamic,3 to 16 years,Islamic,0,0,Private School,Primary to Secondary,,,active
Japanese School Kuala Lumpur,japanese-school-kuala-lumpur-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://www.jskl.edu.my/,Japanese,0 to 0 years,Not specified,10320,10800,"Preschool, International School",All-through,,,active
Nobel International School,nobel-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://nobel.edu.my/,Cambridge Assessment International Education,6 to 16 years,Not specified,7800,13000,International School,Primary to Secondary,,,active
REAL International School - Cheras,real-international-school-cheras-hulu-langat,Hulu Langat,Malaysia,"Hulu Langat, Selangor",,British,3 to 16 years,Not specified,15000,35000,International School,Primary to Secondary,,,active
Sekolah Tinta,sekolah-tinta-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",,,0 to 0 years,Not specified,0,0,Private School,All-through,,,active
REAL International School - Shah Alam,real-international-school-shah-alam-selangor,Shah Alam,Malaysia,"Shah Alam, Selangor",,British,7 to 16 years,Not specified,12570,32100,International School,Primary to Secondary,,,active
Kuala Lumpur Chinese Taipei School (CTS-KL),kuala-lumpur-chinese-taipei-school-cts-kl-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",,Taiwanese,0 to 0 years,Not specified,0,0,"Preschool, International School, Boarding School",All-through,,,active
Sri Emas International School,sri-emas-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://sriemas.edu.my/,Praxis,13 to 17 years,Not specified,26400,31200,International School,Secondary,,,active
Acmar International School,acmar-international-school-klang,Klang,Malaysia,"Klang, Selangor",https://acmar.edu.my/,Praxis,3 to 17 years,Not specified,2670,11000,"Preschool, Private School, International School",Primary to Secondary,,,active
Greenview Islamic International School,greenview-islamic-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://greenview.edu.my/,Islamic,4 to 16 years,Islamic,10400,19800,"Preschool, International School",Primary to Secondary,,,active
Abedeen International School,abedeen-international-school-cyberjaya,Cyberjaya,Malaysia,"Cyberjaya, Selangor",https://abedeen.edu.my/,Praxis,7 to 17 years,Islamic,0,0,International School,Primary to Secondary,,,active
Sri Kuala Lumpur School (SRI KL),sri-kuala-lumpur-school-sri-kl-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://www.srikl.edu.my/,,7 to 17 years,Not specified,9050,17050,International School,Primary to Secondary,,,active
Columbia International School (CIS),columbia-international-school-cis-kajang,Kajang,Malaysia,"Kajang, Selangor",,,0 to 0 years,Not specified,3593,6058,International School,All-through,,,active
Sri KDU International School,sri-kdu-international-school-klang,Klang,Malaysia,"Klang, Selangor",https://srikdu.edu.my/,,5 to 16 years,Not specified,27500,48750,"Preschool, International School",Primary to Secondary,https://srikdu.edu.my/wp-content/uploads/2021/05/Sri-KDU-Logo.png,https://srikdu.edu.my/wp-content/uploads/2021/05/Campus.jpg,active
Eaton International School,eaton-international-school-kajang,Kajang,Malaysia,"Kajang, Selangor",https://eaton.edu.my/,British,2 to 16 years,Not specified,6850,14700,"Preschool, International School",Primary to Secondary,,,active
Rafflesia Private School Kajang,rafflesia-private-school-kajang,Kajang,Malaysia,"Kajang, Selangor",,,7 to 17 years,Not specified,0,0,Private School,Primary to Secondary,,,active
IGB International School (IGBIS),igb-international-school-igbis-sungai-buloh,Sungai Buloh,Malaysia,"Sungai Buloh, Selangor",https://igbis.edu.my/,International Baccalaureate (IB),3 to 19 years,Not specified,27000,95800,"Preschool, International School",All-through,,,active
Taylor's International School Puchong,taylors-international-school-puchong,Puchong,Malaysia,"Bandar Bukit Puchong 2, Selangor",https://www.tis.edu.my/,British|Praxis|Cambridge Assessment International Education,4 to 16 years,Not specified,5505,15895,International School,Primary to Secondary,,,active
Arrows International School,arrows-international-school-ara-damansara,Ara Damansara,Malaysia,"Ara Damansara, Selangor",https://arrows.edu.my/,English,7 to 17 years,Not specified,9827,14400,International School,Primary to Secondary,,,active
Concord College International School,concord-college-international-school-sepang,Sepang,Malaysia,"Sepang, Selangor",https://concordcollege.edu.my/,British,5 to 18 years,Not specified,0,0,International School,All-through,,,active
TLS International School,tls-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,Cambridge Assessment International Education,12 to 17 years,Not specified,20000,24500,International School,Secondary,,,active
Rafflesia International School Kajang,rafflesia-international-school-kajang,Kajang,Malaysia,"Kajang, Selangor",https://www.rafflesia.edu.my/,,0 to 0 years,Not specified,0,0,"Preschool, International School",All-through,,,active
IDRISSI International School Setia Alam,idrissi-international-school-setia-alam-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://idrissi.edu.my/,,4 to 16 years,Islamic,11000,17040,"Preschool, International School",Primary to Secondary,,,active
Dwi Emas International School,dwi-emas-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://dwiemas.edu.my/,Praxis,4 to 17 years,Not specified,28000,39,"Preschool, International School",Primary to Secondary,,,active
Ardence International Secondary School,ardence-international-secondary-school-setia-alam,Setia Alam,Malaysia,"Setia Alam, Selangor",,Cambridge IGCSE,13 to 17 years,Not specified,0,0,International School,Secondary,,,active
St Joseph's Institution International School Malaysia,st-josephs-institution-international-school-malaysia-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://www.sji-international.edu.my/,International Baccalaureate (IB),3 to 17 years,Not specified,42195,93906,"Preschool, International School",Primary to Secondary,https://www.sji-international.edu.my/wp-content/uploads/2021/01/SJI-Logo.png,https://www.sji-international.edu.my/wp-content/uploads/2021/01/SJI-Campus.jpg,active
Axcel International School,axcel-international-school-puchong,Puchong,Malaysia,"Puchong, Selangor",https://axcel.edu.my/,Cambridge IGCSE,to years,Not specified,11000,16000,International School,All-through,,,active
Seven Skies International School (SSI),seven-skies-international-school-ssi-denai-alam,Denai Alam,Malaysia,"Denai Alam, Selangor",https://sevenskies.edu.my/,British|Arabic|Islamic|Praxis,4 to 16 years,Islamic,4,26,"Preschool, International School",Primary to Secondary,,,active
Beverly International School,beverly-international-school-bangi,Bangi,Malaysia,"Bangi, Selangor",,,4 to 22 years,Not specified,0,0,International School,All-through,,,active
Collinz International School (Klang),collinz-international-school-klang-bandar-botanic,Bandar Botanic,Malaysia,"Bandar Botanic, Selangor",,Cambridge Assessment International Education,12 to 17 years,Not specified,12756,20628,International School,Secondary,,,active
Eagles Grammar International School,eagles-grammar-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://egis.edu.my/,Cambridge IGCSE,6 to 17 years,Not specified,13585,17655,International School,Primary to Secondary,,,active
Finnlight International Secondary School,finnlight-international-secondary-school-rawang,Rawang,Malaysia,"Rawang, Selangor",,Cambridge IGCSE,6 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
Global Oak Tree Scholars International School,global-oak-tree-scholars-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",,British|Cambridge IGCSE,3 to 17 years,Not specified,18000,0,International School,Primary to Secondary,,,active
Harvest International School,harvest-international-school-klang,Klang,Malaysia,"Klang, Selangor",,Cambridge IGCSE,7 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
Heritage International School,heritage-international-school-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://heritage.edu.my/,Cambridge IGCSE,7 to 17 years,Not specified,17500,24300,International School,Primary to Secondary,,,active
HIS International School,his-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",https://his.edu.my/,British|Cambridge IGCSE,7 to 17 years,Not specified,17230,23950,International School,Primary to Secondary,,,active
Honsbridge International School,honsbridge-international-school-kota-damansara,Kota Damansara,Malaysia,"Kota Damansara, Selangor",,,to years,Not specified,0,0,International School,All-through,,,active
Icons International School,icons-international-school-ara-damansara,Ara Damansara,Malaysia,"Ara Damansara, Selangor",https://icons.edu.my/,British|Cambridge IGCSE,7 to 17 years,Not specified,26000,48000,International School,Primary to Secondary,,,active
Integrated Islamic School Kota Damansara,integrated-islamic-school-kota-damansara-petaling-jaya,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",,British,0 to 0 years,Islamic,0,0,"Preschool, International School",All-through,,,active
Kingsway International Secondary School,kingsway-international-secondary-school-batu-caves,Batu Caves,Malaysia,"Batu Caves, Selangor",,Cambridge IGCSE,13 to 17 years,Not specified,0,0,International School,Secondary,,,active
Beaconhouse Private School - Sri Murni Campus,beaconhouse-private-school-sri-murni-cheras,Cheras,Malaysia,"Cheras, Selangor",https://beaconhouse.edu.my/,,7 to 17 years,Not specified,8000,16000,Private School,Primary to Secondary,,,active
Beaconhouse Private School - Sri Lethia Campus,beaconhouse-private-school-sri-lethia-klang,Klang,Malaysia,"Klang, Selangor",https://beaconhouse.edu.my/,,7 to 17 years,Not specified,12000,15000,Private School,Primary to Secondary,,,active
Malaya International School,malaya-international-school-port-klang,Port Klang,Malaysia,"Port Klang, Selangor",,Cambridge IGCSE,7 to 13 years,Not specified,0,0,International School,Primary,,,active
Maverick International Secondary School,maverick-international-secondary-school-semenyih,Semenyih,Malaysia,"Semenyih, Selangor",,Cambridge IGCSE,12 to 17 years,Not specified,0,0,International School,Secondary,,,active
MAZ International School,maz-international-school-petaling-jaya-selangor,Petaling Jaya,Malaysia,"Petaling Jaya, Selangor",https://mazschools.edu.my/,British,3 to 17 years,Not specified,12750,33000,International School,Primary to Secondary,,,active
MITStem International School,mitstem-international-school-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://mitstem.edu.my/,,12 to 17 years,Not specified,19000,23000,International School,Secondary,,,active
Oakbridge International School,oakbridge-international-school-subang-jaya,Subang Jaya,Malaysia,"Subang Jaya, Selangor",,Cambridge IGCSE,4 to 16 years,Not specified,11640,13980,International School,Primary to Secondary,,,active
Peninsula International School Australia,peninsula-international-school-australia-shah-alam,Shah Alam,Malaysia,"Shah Alam, Selangor",https://www.peninsula.edu.my/,Australian,4 to 18 years,Not specified,35000,75000,"Preschool, International School",All-through,,,active
Oxburgh International School,oxburgh-international-school-cheras,Cheras,Malaysia,"Cheras, Selangor",,Cambridge IGCSE,4 to 17 years,Not specified,0,0,International School,Primary to Secondary,,,active
